Year,LapNumber,Attacker_Driver,Defender_Driver,Attacker_Position,Attacker_LapTime,Attacker_TyreLife,Attacker_Compound,Defender_LapTime,Defender_TyreLife,Defender_Compound,Delta_LapTime,Delta_TyreLife,Compound_Advantage,Estimated_Gap,IsOvertake
2022,1.0,RUS,LEC,2.0,89.427,1.0,SOFT,88.085,1.0,SOFT,1.342000000000013,0.0,0,0.6710000000000065,0
2022,1.0,RIC,RUS,3.0,90.751,1.0,MEDIUM,89.427,1.0,SOFT,1.323999999999998,0.0,-1,0.661999999999999,0
2022,1.0,VER,RIC,4.0,90.827,1.0,SOFT,90.751,1.0,MEDIUM,0.0759999999999934,0.0,1,0.0379999999999967,1
2022,1.0,GAS,VER,5.0,91.681,1.0,MEDIUM,90.827,1.0,SOFT,0.8539999999999992,0.0,-1,0.4269999999999996,0
2022,1.0,NOR,GAS,6.0,92.356,1.0,MEDIUM,91.681,1.0,MEDIUM,0.6749999999999972,0.0,0,0.3374999999999986,0
2022,1.0,ALO,NOR,7.0,93.058,1.0,MEDIUM,92.356,1.0,MEDIUM,0.7020000000000124,0.0,0,0.3510000000000062,0
2022,1.0,DEV,ALO,8.0,93.491,1.0,SOFT,93.058,1.0,MEDIUM,0.4329999999999927,0.0,1,0.21649999999999636,0
2022,1.0,ZHO,DEV,9.0,93.823,1.0,MEDIUM,93.491,1.0,SOFT,0.33199999999999363,0.0,-1,0.16599999999999682,0
2022,1.0,VET,ZHO,10.0,94.498,2.0,MEDIUM,93.823,1.0,MEDIUM,0.6750000000000114,1.0,0,0.3375000000000057,0
2022,1.0,STR,VET,11.0,94.774,2.0,MEDIUM,94.498,2.0,MEDIUM,0.27599999999999625,0.0,0,0.13799999999999812,1
2022,1.0,MAG,STR,12.0,95.277,1.0,MEDIUM,94.774,2.0,MEDIUM,0.5030000000000001,-1.0,0,0.25150000000000006,0
2022,1.0,OCO,MAG,13.0,95.68,1.0,SOFT,95.277,1.0,MEDIUM,0.4030000000000058,0.0,1,0.2015000000000029,1
2022,1.0,LAT,OCO,14.0,95.968,1.0,MEDIUM,95.68,1.0,SOFT,0.2879999999999967,0.0,-1,0.14399999999999835,0
2022,1.0,PER,LAT,15.0,96.234,1.0,MEDIUM,95.968,1.0,MEDIUM,0.26599999999999113,0.0,0,0.13299999999999557,0
2022,1.0,SAI,PER,16.0,96.448,1.0,MEDIUM,96.234,1.0,MEDIUM,0.21399999999999864,0.0,0,0.10699999999999932,1
2022,1.0,MSC,SAI,17.0,97.137,1.0,MEDIUM,96.448,1.0,MEDIUM,0.6890000000000072,0.0,0,0.3445000000000036,0
2022,1.0,TSU,MSC,18.0,97.42,1.0,MEDIUM,97.137,1.0,MEDIUM,0.28300000000000125,0.0,0,0.14150000000000063,1
2022,1.0,HAM,TSU,19.0,97.652,1.0,MEDIUM,97.42,1.0,MEDIUM,0.23199999999999932,0.0,0,0.11599999999999966,1
2022,1.0,BOT,HAM,20.0,98.273,1.0,MEDIUM,97.652,1.0,MEDIUM,0.6209999999999951,0.0,0,0.31049999999999756,0
2022,2.0,RUS,LEC,2.0,86.724,2.0,SOFT,86.535,2.0,SOFT,0.18900000000000716,0.0,0,0.09450000000000358,0
2022,2.0,VER,RUS,3.0,86.401,2.0,SOFT,86.724,2.0,SOFT,-0.3230000000000075,0.0,0,0.16150000000000375,0
2022,2.0,RIC,VER,4.0,88.398,2.0,MEDIUM,86.401,2.0,SOFT,1.9969999999999999,0.0,-1,0.9984999999999999,0
2022,2.0,GAS,RIC,5.0,88.201,2.0,MEDIUM,88.398,2.0,MEDIUM,-0.19700000000000273,0.0,0,0.09850000000000136,0
2022,2.0,NOR,GAS,6.0,88.196,2.0,MEDIUM,88.201,2.0,MEDIUM,-0.0049999999999954525,0.0,0,0.0024999999999977263,0
2022,2.0,ALO,NOR,7.0,88.272,2.0,MEDIUM,88.196,2.0,MEDIUM,0.07600000000000762,0.0,0,0.03800000000000381,0
2022,2.0,DEV,ALO,8.0,88.416,2.0,SOFT,88.272,2.0,MEDIUM,0.14399999999999125,0.0,1,0.07199999999999562,0
2022,2.0,ZHO,DEV,9.0,88.445,2.0,MEDIUM,88.416,2.0,SOFT,0.028999999999996362,0.0,-1,0.014499999999998181,0
2022,2.0,STR,ZHO,10.0,88.722,3.0,MEDIUM,88.445,2.0,MEDIUM,0.277000000000001,1.0,0,0.1385000000000005,0
2022,2.0,VET,STR,11.0,89.616,3.0,MEDIUM,88.722,3.0,MEDIUM,0.8940000000000055,0.0,0,0.44700000000000273,0
2022,2.0,OCO,VET,12.0,88.849,2.0,SOFT,89.616,3.0,MEDIUM,-0.7669999999999959,-1.0,1,0.38349999999999795,0
2022,2.0,MAG,OCO,13.0,89.935,2.0,MEDIUM,88.849,2.0,SOFT,1.0859999999999985,0.0,-1,0.5429999999999993,0
2022,2.0,SAI,MAG,14.0,89.685,2.0,MEDIUM,89.935,2.0,MEDIUM,-0.25,0.0,0,0.125,0
2022,2.0,LAT,SAI,15.0,90.629,2.0,MEDIUM,89.685,2.0,MEDIUM,0.9440000000000026,0.0,0,0.4720000000000013,0
2022,2.0,PER,LAT,16.0,90.459,2.0,MEDIUM,90.629,2.0,MEDIUM,-0.1700000000000017,0.0,0,0.08500000000000085,1
2022,2.0,TSU,PER,17.0,89.541,2.0,MEDIUM,90.459,2.0,MEDIUM,-0.9180000000000064,0.0,0,0.4590000000000032,0
2022,2.0,HAM,TSU,18.0,90.032,2.0,MEDIUM,89.541,2.0,MEDIUM,0.49099999999999966,0.0,0,0.24549999999999983,0
2022,2.0,MSC,HAM,19.0,90.906,2.0,MEDIUM,90.032,2.0,MEDIUM,0.8740000000000094,0.0,0,0.4370000000000047,0
2022,2.0,BOT,MSC,20.0,89.846,2.0,MEDIUM,90.906,2.0,MEDIUM,-1.0600000000000023,0.0,0,0.5300000000000011,0
2022,3.0,RUS,LEC,2.0,86.432,3.0,SOFT,86.352,3.0,SOFT,0.0799999999999983,0.0,0,0.03999999999999915,0
2022,3.0,VER,RUS,3.0,86.181,3.0,SOFT,86.432,3.0,SOFT,-0.2510000000000048,0.0,0,0.1255000000000024,0
2022,3.0,RIC,VER,4.0,87.818,3.0,MEDIUM,86.181,3.0,SOFT,1.6370000000000005,0.0,-1,0.8185000000000002,0
