Driver,LapNumber,LapTime,Position,TyreLife,Compound,Year
VER,1.0,0 days 00:01:30.827000,4.0,1.0,SOFT,2022
VER,2.0,0 days 00:01:26.401000,3.0,2.0,SOFT,2022
VER,3.0,0 days 00:01:26.181000,3.0,3.0,SOFT,2022
VER,4.0,0 days 00:01:25.782000,3.0,4.0,SOFT,2022
VER,5.0,0 days 00:01:25.512000,2.0,5.0,SOFT,2022
VER,6.0,0 days 00:01:25.660000,2.0,6.0,SOFT,2022
VER,7.0,0 days 00:01:25.297000,2.0,7.0,SOFT,2022
VER,8.0,0 days 00:01:25.618000,2.0,8.0,SOFT,2022
VER,9.0,0 days 00:01:25.886000,2.0,9.0,SOFT,2022
VER,10.0,0 days 00:01:25.953000,2.0,10.0,SOFT,2022
VER,11.0,0 days 00:01:25.858000,2.0,11.0,SOFT,2022
VER,12.0,0 days 00:01:47.245000,1.0,12.0,SOFT,2022
VER,13.0,0 days 00:01:28.719000,1.0,13.0,SOFT,2022
VER,14.0,0 days 00:01:25.615000,1.0,14.0,SOFT,2022
VER,15.0,0 days 00:01:25.794000,1.0,15.0,SOFT,2022
VER,16.0,0 days 00:01:25.903000,1.0,16.0,SOFT,2022
VER,17.0,0 days 00:01:25.870000,1.0,17.0,SOFT,2022
VER,18.0,0 days 00:01:25.985000,1.0,18.0,SOFT,2022
VER,19.0,0 days 00:01:25.799000,1.0,19.0,SOFT,2022
VER,20.0,0 days 00:01:25.750000,1.0,20.0,SOFT,2022
VER,21.0,0 days 00:01:25.790000,1.0,21.0,SOFT,2022
VER,22.0,0 days 00:01:25.901000,1.0,22.0,SOFT,2022
VER,23.0,0 days 00:01:25.719000,1.0,23.0,SOFT,2022
VER,24.0,0 days 00:01:25.800000,1.0,24.0,SOFT,2022
VER,25.0,0 days 00:01:29.712000,1.0,25.0,SOFT,2022
VER,26.0,0 days 00:01:45.038000,2.0,1.0,MEDIUM,2022
VER,27.0,0 days 00:01:25.012000,2.0,2.0,MEDIUM,2022
VER,28.0,0 days 00:01:25.190000,2.0,3.0,MEDIUM,2022
VER,29.0,0 days 00:01:24.829000,2.0,4.0,MEDIUM,2022
VER,30.0,0 days 00:01:24.798000,2.0,5.0,MEDIUM,2022
VER,31.0,0 days 00:01:25.071000,2.0,6.0,MEDIUM,2022
VER,32.0,0 days 00:01:24.918000,2.0,7.0,MEDIUM,2022
VER,33.0,0 days 00:01:25.095000,2.0,8.0,MEDIUM,2022
VER,34.0,0 days 00:01:24.857000,1.0,9.0,MEDIUM,2022
VER,35.0,0 days 00:01:24.831000,1.0,10.0,MEDIUM,2022
VER,36.0,0 days 00:01:24.919000,1.0,11.0,MEDIUM,2022
VER,37.0,0 days 00:01:24.829000,1.0,12.0,MEDIUM,2022
VER,38.0,0 days 00:01:24.745000,1.0,13.0,MEDIUM,2022
VER,39.0,0 days 00:01:24.815000,1.0,14.0,MEDIUM,2022
VER,40.0,0 days 00:01:24.905000,1.0,15.0,MEDIUM,2022
VER,41.0,0 days 00:01:25.078000,1.0,16.0,MEDIUM,2022
VER,42.0,0 days 00:01:24.926000,1.0,17.0,MEDIUM,2022
VER,43.0,0 days 00:01:25.010000,1.0,18.0,MEDIUM,2022
VER,44.0,0 days 00:01:25.122000,1.0,19.0,MEDIUM,2022
VER,45.0,0 days 00:01:24.824000,1.0,20.0,MEDIUM,2022
VER,46.0,0 days 00:01:25.257000,1.0,21.0,MEDIUM,2022
VER,47.0,0 days 00:01:24.750000,1.0,22.0,MEDIUM,2022
VER,48.0,0 days 00:01:52.443000,1.0,23.0,MEDIUM,2022
VER,49.0,0 days 00:02:14.689000,1.0,1.0,SOFT,2022
VER,50.0,0 days 00:01:40.364000,1.0,2.0,SOFT,2022
VER,51.0,0 days 00:02:16.259000,1.0,3.0,SOFT,2022
VER,52.0,0 days 00:02:23.993000,1.0,4.0,SOFT,2022
VER,53.0,0 days 00:02:12.367000,1.0,5.0,SOFT,2022
GAS,1.0,0 days 00:01:31.681000,5.0,1.0,MEDIUM,2022
GAS,2.0,0 days 00:01:28.201000,5.0,2.0,MEDIUM,2022
GAS,3.0,0 days 00:01:27.625000,5.0,3.0,MEDIUM,2022
GAS,4.0,0 days 00:01:27.365000,5.0,4.0,MEDIUM,2022
GAS,5.0,0 days 00:01:27.534000,5.0,5.0,MEDIUM,2022
GAS,6.0,0 days 00:01:27.316000,5.0,6.0,MEDIUM,2022
GAS,7.0,0 days 00:01:27.368000,5.0,7.0,MEDIUM,2022
GAS,8.0,0 days 00:01:27.232000,5.0,8.0,MEDIUM,2022
GAS,9.0,0 days 00:01:27.534000,5.0,9.0,MEDIUM,2022
GAS,10.0,0 days 00:01:27.606000,5.0,10.0,MEDIUM,2022
GAS,11.0,0 days 00:01:27.449000,5.0,11.0,MEDIUM,2022
GAS,12.0,0 days 00:01:50.771000,6.0,12.0,MEDIUM,2022
GAS,13.0,0 days 00:01:28.402000,6.0,13.0,MEDIUM,2022
