,Attacker_Position,Attacker_LapTime,Attacker_TyreLife,Defender_LapTime,Defender_TyreLife,Delta_LapTime,Delta_TyreLife,Compound_Advantage,Estimated_Gap,IsOvertake
Attacker_Position,1.0,0.2654349239875392,-0.1385692364940424,0.2729215587643298,-0.11597276810672894,-0.04139927776944345,-0.021363750056905082,0.004859723456778631,0.022003573729368203,0.13326567326710836
Attacker_LapTime,0.2654349239875392,1.0,-0.06720561546455694,0.777136147563315,-0.2000212416852568,0.2320842956929204,0.13856096654325814,-0.03218142506955132,0.017108930188863853,0.03386833812658806
Attacker_TyreLife,-0.1385692364940424,-0.06720561546455694,1.0,-0.166701945160096,0.5273451178828437,0.16133357767355314,0.47484270446234866,-0.14207068453444127,0.1008116208851861,-0.03520819412993519
Defender_LapTime,0.2729215587643298,0.777136147563315,-0.166701945160096,1.0,-0.011093671972913235,-0.43178791629662,-0.158723172512921,0.004253412515023491,0.28821921325898187,0.2507234742369946
Defender_TyreLife,-0.11597276810672894,-0.2000212416852568,0.5273451178828437,-0.011093671972913235,1.0,-0.26952910056608914,-0.49734711128994413,0.1760840575204642,0.14442585017528398,0.11796364080582833
Delta_LapTime,-0.04139927776944345,0.2320842956929204,0.16133357767355314,-0.43178791629662,-0.26952910056608914,1.0,0.4439114295012709,-0.05269729685411116,-0.4209503694748063,-0.3389769895237293
Delta_TyreLife,-0.021363750056905082,0.13856096654325814,0.47484270446234866,-0.158723172512921,-0.49734711128994413,0.4439114295012709,1.0,-0.3274521109419172,-0.04666111256860821,-0.15813697636994917
Compound_Advantage,0.004859723456778631,-0.03218142506955132,-0.14207068453444127,0.004253412515023491,0.1760840575204642,-0.05269729685411116,-0.3274521109419172,1.0,-0.06792803703492768,-0.014864089585542837
Estimated_Gap,0.022003573729368203,0.017108930188863853,0.1008116208851861,0.28821921325898187,0.14442585017528398,-0.4209503694748063,-0.04666111256860821,-0.06792803703492768,1.0,0.25881437430635684
IsOvertake,0.13326567326710836,0.03386833812658806,-0.03520819412993519,0.2507234742369946,0.11796364080582833,-0.3389769895237293,-0.15813697636994917,-0.014864089585542837,0.25881437430635684,1.0
